category,Bin Lower Bound (m),Bin Center Diameter (m),Bin Upper Bound (m)
1a1,3.00e-9,4.79e-9,7.66e-9
1a2,7.66e-9,1.22e-8,1.96e-8
1a3,1.96e-8,3.13e-8,5.00e-8
2a1,5.00e-8,6.95e-8,9.67e-8
2a2,9.67e-8,1.35e-7,1.87e-7
2a3,1.87e-7,2.60e-7,3.62e-7
2a4,3.62e-7,5.03e-7,7.00e-7
2a5,7.00e-7,1.09e-6,1.70e-6
2a6,1.70e-6,2.65e-6,4.12e-6
2a7,4.12e-6,6.42e-6,1.00e-5
2b1,5.00e-8,6.95e-8,9.67e-8
2b2,9.67e-8,1.35e-7,1.87e-7
2b3,1.87e-7,2.60e-7,3.62e-7
2b4,3.62e-7,5.03e-7,7.00e-7
2b5,7.00e-7,1.09e-6,1.70e-6
2b6,1.70e-6,2.65e-6,4.12e-6
2b7,4.12e-6,6.42e-6,1.00e-5
